,Wiki Entity ID,Label,Description,Instance of,Sex or Gender
0,Q109249200,Israel Trask,"American metalworker, 1786-1867",Q5,Q6581097
1,Q109419390,Joe Baker,American artist (born 1946),Q5,Q6581097
2,Q109886302,Ignazio Pavon,"Italian printmaker, engraver, and coppersmith (1790–1858)",Q5,Q6581097
3,Q1000203,Robert Mallet-Stevens,French architect and designer (1886–1945),Q5,Q6581097
4,Q1000471,Bud Fisher,American cartoonist (1885–1954),Q5,Q6581097
5,Q100116,Christoph Weigel the Elder,"German engraver, art dealer and publisher",Q5,Q6581097
6,Q100157076,Thomas Gentille,jewelry designer,Q5,Q6581097
7,Q1001602,Alexander Finta,American artist (1881-1958),Q5,Q6581097
8,Q100187779,Cosmo Prete,photographer,Q5,Q6581097
9,Q100250171,Royal Archaeological Institute of Great Britain and Ireland,,Q43229,
10,Q100251464,Armand Corot,"Born c. 1787; died before 1822. French, Engraver (line-engraving).",Q5,Q6581097
11,Q100253500,Richard William Lindsey,African American artist,Q5,Q6581097
12,Q100326690,Amy Huaud,Swiss artist (1657-1724),Q5,Q6581097
13,Q100328959,Mark Hadjipateras,,Q5,Q6581097
14,Q1003475,Bulas Group,Bulas,Q19969128,
15,Q100375933,Pietro Roselli,"Venetian painter, active 18th century",Q5,Q6581097
16,Q100509340,Adelheid Malecki,illustrator from Austria,Q5,Q6581072
17,Q1005462,Chen Jiru,Chinese artist (1558-1639),Q5,Q6581097
18,Q100578135,J. E. Dodson,English actor (1856–1931),Q5,Q6581097
19,Q100711,Christian Duttenhofer,Württembergian copper engraver (1778-1846),Q5,Q6581097
20,Q100711349,Eugène Guillaumot,French engraver,Q5,Q6581097
21,Q100741709,Domenico da Venezia,"Venetian majolica painter, active 1550-ca.1568",Q5,Q6581097
22,Q100772489,Garrett Copeland,basketball player,Q5,Q6581097
23,Q100794963,Florence Steele,English artist,Q5,Q6581072
24,Q1008673,Paul Dougherty,American artist (1877-1947),Q5,Q6581097
25,Q1008996,Hugo Gellert,Leftist American illustrator (1892-1985),Q5,Q6581097
26,Q1009528,Georges Valmier,French painter (1885-1937),Q5,Q6581097
27,Q100956641,Pedro del Pozo,"Spanish painter, circa 1715-1785",Q5,Q6581097
28,Q101002,Albert Kretschmer,German painter and costumes researcher (1825-1891),Q5,Q6581097
29,Q101008700,Frans Carelse,Dutch printmaker; publisher/printer,Q5,Q6581097
30,Q1010603,Giorgio Ghisi,Italian engraver active in Antwerp and France (1520-1582),Q5,Q6581097
31,Q1010700,Giovanni della Robbia,Italian sculptor (1469–1529),Q5,Q6581097
32,Q101241206,Gay Burke,"American artist, professor",Q5,Q6581072
33,Q1012900,Wanda Gág,American artist and children's writer (1893-1946),Q5,Q6581072
34,Q101417492,Angelo Luswergh,Italian photographer (1793-1858),Q5,Q6581097
35,Q1015151,Burgon Group,Attic vase painters,Q1400264,
36,Q101530066,Master of Morata,painter,Q5,Q6581097
37,Q101533201,Master of Roussillon,"Spanish painter, active 1385-1428",Q5,
38,Q1016269,Burhan Doğançay,Turkish painter and photographer (1929–2013),Q5,Q6581097
39,Q1016334,Burk Uzzle,American photojournalist,Q5,Q6581097
40,Q1017028,Zhou Lianggong,Chinese poet (1612-1672),Q5,Q6581097
41,Q101951,Pauline Baynes,English illustrator of children's books (1922-2008),Q5,Q6581072
42,Q102146024,Giovanni Battista Altadonna,Italian photographer,Q5,Q6581097
43,Q102156729,Agnes Northrop,American glass artist (1857-1953),Q5,Q6581072
44,Q102204,Marguerite Wildenhain,German ceramist (1896–1985),Q5,Q6581072
45,Q1022213,Cheng Jiasui,Chinese artist and poet (1565-1643),Q5,Q6581097
46,Q1022300,C Painter,attic black-figure Vase Painter,Q5,
47,Q102272,Jan van Eyck,Flemish painter (c.1390–1441),Q5,Q6581097
48,Q102281906,Mayer & Pierson,French photography studio,Q672070,
49,Q102289,Buckminster Fuller,"American architect, systems theorist, author, designer, inventor and futurist (1895–1983)",Q5,Q6581097
50,Q102344,Clemens Kalischer,American photographer (1921–2018),Q5,Q6581097
51,Q102400115,"Paul Revere, Jr.",American silversmith and bellfounder (1760-1813),Q5,Q6581097
52,Q102513,Harriet Beecher Stowe,American abolitionist and author (1811–1896),Q5,Q6581072
53,Q102579,Paul Konewka,German illustrator (1841–1871),Q5,Q6581097
54,Q1026458,"Katherine Stanhope, Countess of Chesterfield",English courtier,Q5,Q6581072
55,Q1026525,Caleb Blood Smith,American judge and politician (1808–1864),Q5,Q6581097
56,Q1026529,Caleb Cain Marcus,photographer,Q5,Q6581097
57,Q102711,Dennis Hopper,American actor and director (1936–2010),Q5,Q6581097
58,Q10273021,Enrico Imoda,Italian researcher,Q5,Q6581097
59,Q1027723,Calvin Pollard,American architect,Q5,Q6581097
60,Q1028469,Kornel Makuszyński,Polish writer (1884–1953),Q5,Q6581097
61,Q102851,Boethius,Roman senator and philosopher of the early 6th century,Q5,Q6581097
62,Q10285877,Frei Carlos,Portuguese painter,Q5,Q6581097
63,Q10286957,Fábrica de Faianças das Caldas da Rainha,,Q18340464,
64,Q1028749,Christian Friedrich Zincke,German painter (1683-1767),Q5,Q6581097
65,Q10288073,M. Knoedler & Co.,art dealer in New York,Q56856618,
66,Q1028975,Jacques Fath,French fashion designer (1912–1954),Q5,Q6581097
67,Q1029143,Jacob Cornelisz van Oostsanen,Dutch painter and designer of woodcuts (before 1470-1533),Q5,Q6581097
68,Q1029257,Camille Roqueplan,French painter (1803-1855),Q5,Q6581097
69,Q10300427,Wen Peng,painter (1498-1573),Q5,Q6581097
70,Q1030149,Thomas Gibson,British painter (1680-1751),Q5,Q6581097
71,Q103059,Hugo Steiner-Prag,"German illustrator, writer and painter (1880-1945)",Q5,Q6581097
72,Q10306567,Jean de Liège,"14th-century sculptor of Flemish origin, mainly active in France.",Q5,Q6581097
73,Q10308103,Jorge Eduardo,Brazilian painter,Q5,Q6581097
74,Q10308593,Joseph James Forrester,English businessman (1809-1861),Q5,Q6581097
75,Q10310062,Chen Shuren,Chinese painter (1883-1948),Q5,Q6581097
76,Q10317308,Leon Williams,American periodontist,Q5,Q6581097
77,Q10319937,Lourdes Castro,Portuguese artist (born 1930),Q5,Q6581072
78,Q1032506,Benjamín Palencia,Spanish painter (1894-1980),Q5,Q6581097
79,Q1032847,Pieter van Mol,Flemish painter (1599-1650),Q5,Q6581097
80,Q10329047,Master of 1416,"Italian artist, active 1400-1425",Q5,Q6581097
81,Q1032912,Shikitei Sanba,Japanese writer,Q5,Q6581097
82,Q10330886,Zhu Duan,Chinese artist,Q5,Q6581097
83,Q1033596,John Hayls,English painter (1600-1679),Q5,Q6581097
84,Q1034140,Justus van Egmont,Flemish painter (1601-1674),Q5,Q6581097
85,Q1035,Charles Darwin,English naturalist and biologist (1809–1882),Q5,Q6581097
86,Q1035877,Carel Allard,Dutch cartographer and copperplate engraver,Q5,Q6581097
87,Q10359463,René Bértholo,Portuguese painter (1935-2005),Q5,Q6581097
88,Q1036353,Ahn Gyeon,Joseon dynasty painter,Q5,Q6581097
89,Q10364684,Rosângela Rennó,Brazilian photographer,Q5,Q6581072
90,Q1036683,Adolf Senff,German painter (1785–1863),Q5,Q6581097
91,Q1036784,Yelü Bei,King of Dongdan from 926 to 937,Q5,Q6581097
92,Q1036858,Carl August Ehrensvärd,"Swedish naval officer, painter, author, and neo-classical architect (1745-1800)",Q5,Q6581097
93,Q1036862,Carl August Lebschée,Polish-born German artist (1800–1877),Q5,Q6581097
94,Q1036869,Carl August Richter,German draughtsperson,Q5,Q6581097
95,Q1036898,Carl August Schwerdgeburth,German painter (1785-1878),Q5,Q6581097
96,Q1037154,Gillis Coignet,Flemish painter (1542-1599),Q5,Q6581097
97,Q1037716,Carl Fahringer,Austrian painter (1874-1952),Q5,Q6581097
98,Q1037921,Carl Fredrik Adelcrantz,Swedish architect (1716-1796),Q5,Q6581097
99,Q1038373,Carl Guttenberg,engraver (1743-1790),Q5,Q6581097
100,Q1038401,Carl Graeb,German architect and theater decor painter (1816-1884),Q5,Q6581097
101,Q1038658,Carl Heinrich Florenz Müller,German entrepreneur (1845–1912),Q5,Q6581097
102,Q1038667,Carl Heinrich Hermann,German painter (1802-1880),Q5,Q6581097
103,Q1038732,Karl Heinrich von Heinecken,German art collector and art historian (1707-1791),Q5,Q6581097
104,Q1038855,Carl Hilgers,German painter (1818-1890),Q5,Q6581097
105,Q1038930,Carl Hummel,German painter (1821-1907),Q5,Q6581097
106,Q1038985,Carl Hårleman,Swedish architect (1700-1753),Q5,Q6581097
107,Q10390524,Vieira Lusitano,Portuguese artist (1699-1783),Q5,Q6581097
108,Q1039055,Carl Johann Lasch,German painter (1822-1888),Q5,Q6581097
109,Q103934,Everhard Jabach,German private banker (1618-1695),Q5,Q6581097
110,Q10394365,Xie Zhiliu,Chinese painter and calligrapher (1910–1997),Q5,Q6581097
111,Q10395841,Alvaro Pirez d'Evora,painter from Portugal,Q5,Q6581097
112,Q1039707,Carl Mayer,German painter and publisher (1798-1868),Q5,Q6581097
113,Q1039813,Carl Morgenstern,"German landscape painter, born 1811 (1811–1893)",Q5,Q6581097
114,Q1039975,Carl Otto Czeschka,Austrian artist (1878-1960),Q5,Q6581097
115,Q1040249,Robert Kummer,German painter (1810-1889),Q5,Q6581097
116,Q1040721,Carl Strauss,American painter and illustrator (1873-1957),Q5,Q6581097
117,Q1040801,Carl Theodor Ottmer,German architect (1800-1843),Q5,Q6581097
118,Q104092937,Vincenzo Luchino,publisher and engraver from Italy,Q5,Q6581097
119,Q1040950,Carl Wagner,German painter and representatives of the romantic landscape painting (1796-1867),Q5,Q6581097
120,Q1041108,Carl Wilhelm Kolbe,painter (1759-1835),Q5,Q6581097
121,Q1041329,Joseph François Michaud,French academic (1767-1839),Q5,Q6581097
122,Q104135306,Adam Vogler,Austrian artist,Q5,Q6581097
123,Q1041359,Carl von Häberlin,German artist (1832-1911),Q5,Q6581097
124,Q104151641,Anatole Martin de Bonsonge,,Q5,Q6581097
125,Q104183513,Samuel Metford,,Q5,Q6581097
126,Q104190,Robert Walpole,"British statesman and art collector, 1st Earl of Orford (1676–1745)",Q5,Q6581097
127,Q1041995,Carlo Carlone,painter,Q5,Q6581097
